estu_genero	estu_depto_reside	fami_estratovivienda	fami_tieneinternet	fami_numlibros	punt_lectura_critica	punt_matematicas	punt_c_naturales	punt_sociales_ciudadanas	punt_ingles	desemp_ingles	punt_global
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	71	65	69	63	90	B+	344
M	VALLE	Estrato 5	Si	26 A 100 LIBROS	75	77	100	81	86	B+	417
M	VALLE	Estrato 1	Si	0 A 10 LIBROS	42	27	29	36	29	A-	166
F	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	61	62	72	70	79	B+	336
F	VALLE	Estrato 3	No	26 A 100 LIBROS	69	75	67	65	71	B1	346
M	VALLE	Estrato 2	Si	11 A 25 LIBROS	49	61	50	55	58	A2	270
F	BOGOTA	Estrato 3	Si	26 A 100 LIBROS	69	52	72	73	76	B1	336
M	ATLANTICO	Estrato 2	Si	11 A 25 LIBROS	35	49	45	41	46	A-	214
M	BOGOTA	-	Si	-	73	53	61	78	83	B+	338
M	ANTIOQUIA	Estrato 6	Si	MÁS DE 100 LIBROS	62	73	65	65	84	B+	338
M	VALLE	Estrato 1	No	0 A 10 LIBROS	52	43	46	38	51	A1	226
M	VALLE	Estrato 2	Si	0 A 10 LIBROS	63	65	57	66	54	A1	310
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	59	53	49	50	53	A1	264
M	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	71	68	75	74	83	B+	364
M	ATLANTICO	Estrato 3	Si	26 A 100 LIBROS	55	63	63	50	63	A2	291
M	BOGOTA	Estrato 4	Si	11 A 25 LIBROS	70	78	72	68	82	B+	364
F	VALLE	Estrato 1	Si	11 A 25 LIBROS	53	55	54	40	66	A2	258
M	BOGOTA	-	-	-	64	55	55	55	74	B1	293
F	BOGOTA	Estrato 4	Si	MÁS DE 100 LIBROS	75	66	77	77	83	B+	372
F	CAUCA	Estrato 4	Si	MÁS DE 100 LIBROS	61	60	55	57	60	A2	292
F	VALLE	Estrato 6	Si	26 A 100 LIBROS	71	72	68	68	80	B+	353
M	VALLE	Estrato 4	Si	MÁS DE 100 LIBROS	63	73	69	52	57	A1	318
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	50	41	41	53	44	A-	230
M	VALLE	Estrato 2	Si	11 A 25 LIBROS	48	43	51	49	39	A-	235
M	CAUCA	Estrato 5	Si	11 A 25 LIBROS	56	69	62	56	70	B1	307
M	ANTIOQUIA	Estrato 2	Si	0 A 10 LIBROS	61	60	57	57	46	A-	289
F	VALLE	Estrato 2	Si	26 A 100 LIBROS	62	51	55	53	50	A1	274
F	ANTIOQUIA	Estrato 4	Si	11 A 25 LIBROS	54	40	49	56	45	A-	247
M	BOLIVAR	Estrato 6	Si	26 A 100 LIBROS	73	70	69	66	86	B+	354
F	VALLE	Estrato 4	Si	26 A 100 LIBROS	62	55	59	66	74	B1	308
F	VALLE	Estrato 3	Si	0 A 10 LIBROS	52	44	49	48	46	A-	240
M	VALLE	Estrato 2	Si	26 A 100 LIBROS	59	61	66	69	45	A-	312
M	VALLE	Estrato 4	Si	0 A 10 LIBROS	69	55	53	65	68	B1	305
M	CAUCA	-	-	-	64	57	54	73	47	A-	304
F	VALLE	-	-	-	48	46	44	39	39	A-	219
F	CAQUETA	Estrato 2	No	11 A 25 LIBROS	41	34	36	40	28	A-	185
M	BOGOTA	Estrato 2	Si	11 A 25 LIBROS	53	46	48	49	41	A-	242
M	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	65	62	58	63	78	B1	316
M	NORTE SANTANDER	Estrato 2	No	0 A 10 LIBROS	44	43	38	48	43	A-	216
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	39	38	37	33	28	A-	180
F	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	66	68	70	64	82	B+	341
M	CORDOBA	Estrato 3	Si	11 A 25 LIBROS	59	39	62	54	68	B1	273
F	VALLE	Estrato 3	Si	26 A 100 LIBROS	56	39	44	44	57	A1	233
F	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	51	40	40	48	40	A-	222
M	VALLE	Estrato 4	Si	11 A 25 LIBROS	74	84	77	74	83	B+	388
F	ANTIOQUIA	Estrato 1	No	11 A 25 LIBROS	44	24	48	30	31	A-	180
F	HUILA	Estrato 2	No	11 A 25 LIBROS	49	34	39	37	38	A-	198
M	RISARALDA	Estrato 4	Si	26 A 100 LIBROS	68	62	69	59	76	B1	327
F	NARIÑO	Estrato 3	Si	11 A 25 LIBROS	57	56	56	58	52	A1	282
M	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	50	54	49	53	55	A1	259
F	CUNDINAMARCA	Estrato 2	Si	11 A 25 LIBROS	47	48	45	46	33	A-	227
M	VALLE	Estrato 5	Si	0 A 10 LIBROS	47	55	46	55	34	A-	247
M	VALLE	Estrato 5	Si	0 A 10 LIBROS	59	68	61	53	61	A2	302
M	ATLANTICO	Estrato 5	Si	0 A 10 LIBROS	68	64	62	59	78	B1	322
M	ANTIOQUIA	Estrato 3	Si	11 A 25 LIBROS	52	47	43	50	48	A1	240
M	BOGOTA	-	-	-	66	50	56	52	55	A1	280
F	VALLE	Estrato 3	Si	26 A 100 LIBROS	58	35	40	40	53	A1	220
F	VALLE	Estrato 5	Si	11 A 25 LIBROS	63	53	57	53	55	A1	282
M	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	46	54	51	43	36	A-	238
M	VALLE	-	-	-	36	36	46	38	60	A2	203
F	RISARALDA	-	-	-	53	31	33	34	28	A-	185
M	NARIÑO	Estrato 3	No	0 A 10 LIBROS	46	41	31	41	29	A-	195
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	65	70	69	75	82	B+	353
M	BOGOTA	Estrato 2	No	0 A 10 LIBROS	37	33	35	42	32	A-	182
F	RISARALDA	-	-	-	68	62	60	78	81	B+	340
M	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	61	62	61	61	68	B1	309
F	BOGOTA	-	-	-	68	70	64	59	76	B1	330
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	51	43	57	49	62	A2	255
F	ANTIOQUIA	Estrato 2	Si	0 A 10 LIBROS	44	32	28	33	38	A-	173
M	ATLANTICO	Estrato 5	Si	26 A 100 LIBROS	74	79	74	79	88	B+	387
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	44	34	37	37	34	A-	188
M	VALLE	Estrato 4	Si	26 A 100 LIBROS	72	74	70	66	78	B1	355
M	VALLE	Estrato 3	Si	0 A 10 LIBROS	56	50	52	52	58	A2	265
M	VALLE	Estrato 3	Si	11 A 25 LIBROS	53	40	44	51	51	A1	237
M	BOGOTA	Estrato 3	Si	26 A 100 LIBROS	58	54	51	56	60	A2	276
F	BOGOTA	Estrato 5	Si	26 A 100 LIBROS	60	63	62	50	75	B1	300
F	VALLE	Estrato 4	Si	26 A 100 LIBROS	74	66	60	69	77	B1	340
M	NARIÑO	Estrato 3	Si	11 A 25 LIBROS	72	60	66	59	68	B1	323
F	CUNDINAMARCA	-	-	-	48	37	39	42	40	A-	207
F	ATLANTICO	Estrato 5	Si	11 A 25 LIBROS	54	59	58	61	78	B1	298
M	BOGOTA	Sin Estrato	Si	11 A 25 LIBROS	48	27	44	38	42	A-	197
M	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	55	51	51	54	65	A2	268
F	BOGOTA	Estrato 6	Si	26 A 100 LIBROS	74	68	72	71	84	B+	361
F	BOGOTA	-	-	-	66	50	53	59	77	B1	293
M	BOGOTA	-	-	-	59	55	54	51	46	A-	270
M	CAUCA	Estrato 4	Si	MÁS DE 100 LIBROS	80	79	71	67	72	B1	370
M	NARIÑO	Estrato 1	Si	0 A 10 LIBROS	33	53	45	39	40	A-	212
M	ANTIOQUIA	Estrato 2	Si	11 A 25 LIBROS	43	26	33	28	39	A-	165
M	VALLE	Estrato 1	Si	0 A 10 LIBROS	51	46	39	50	35	A-	228
M	ANTIOQUIA	Estrato 6	Si	MÁS DE 100 LIBROS	71	77	67	70	77	B1	358
M	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	49	52	59	52	50	A1	264
M	BOGOTA	Estrato 2	Si	26 A 100 LIBROS	68	60	64	68	76	B1	329
M	VALLE	Estrato 3	Si	26 A 100 LIBROS	49	29	39	39	39	A-	195
F	VALLE	Estrato 3	Si	0 A 10 LIBROS	63	46	51	52	66	A2	270
F	BOGOTA	Estrato 3	Si	MÁS DE 100 LIBROS	67	64	63	71	86	B+	339
M	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	62	76	61	71	84	B+	344
M	VALLE	Estrato 3	Si	0 A 10 LIBROS	65	61	62	55	58	A2	303
F	VALLE	Estrato 3	Si	0 A 10 LIBROS	62	59	67	67	84	B+	327
M	VALLE	-	-	-	62	52	51	59	69	B1	285
M	ATLANTICO	-	Si	0 A 10 LIBROS	76	85	57	78	75	B1	370
F	VALLE	Estrato 3	Si	0 A 10 LIBROS	54	55	59	50	58	A2	274
F	VALLE	Estrato 2	No	0 A 10 LIBROS	62	67	55	55	39	A-	291
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	65	64	67	62	75	B1	327
F	VALLE	Estrato 6	Si	MÁS DE 100 LIBROS	55	73	32	49	79	B+	272
M	BOGOTA	Estrato 3	Si	11 A 25 LIBROS	36	29	35	33	42	A-	170
F	VALLE	Estrato 4	Si	26 A 100 LIBROS	48	46	47	41	54	A1	231
M	VALLE	Estrato 5	Si	26 A 100 LIBROS	74	69	68	84	81	B+	372
M	BOYACA	Estrato 1	No	0 A 10 LIBROS	49	42	52	55	35	A-	242
F	BOGOTA	Estrato 3	Si	26 A 100 LIBROS	60	47	54	68	42	A-	280
M	ANTIOQUIA	Estrato 1	Si	11 A 25 LIBROS	56	39	40	48	33	A-	224
M	VALLE	Estrato 5	Si	26 A 100 LIBROS	73	75	70	73	81	B+	367
M	CUNDINAMARCA	Estrato 3	Si	11 A 25 LIBROS	47	51	39	40	41	A-	220
M	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	71	68	53	75	78	B1	338
F	BOGOTA	-	-	-	57	56	46	55	54	A1	268
M	BOGOTA	-	-	-	39	35	40	42	28	A-	191
F	BOGOTA	Estrato 3	Si	0 A 10 LIBROS	43	42	42	27	46	A-	195
M	CUNDINAMARCA	Estrato 1	No	11 A 25 LIBROS	43	22	32	37	34	A-	168
F	ATLANTICO	Estrato 4	Si	MÁS DE 100 LIBROS	63	74	68	67	85	B+	347
F	CUNDINAMARCA	Estrato 5	Si	MÁS DE 100 LIBROS	69	73	78	80	84	B+	378
M	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	56	54	51	41	48	A1	252
M	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	64	53	61	58	56	A1	294
F	VALLE	Estrato 2	Si	11 A 25 LIBROS	64	70	68	58	66	A2	325
M	ATLANTICO	Estrato 2	No	0 A 10 LIBROS	62	52	45	40	44	A-	247
F	VALLE	Estrato 4	Si	11 A 25 LIBROS	50	41	52	45	71	B1	244
F	VALLE	Estrato 5	Si	MÁS DE 100 LIBROS	69	73	66	76	84	B+	360
F	BOGOTA	Estrato 4	Si	0 A 10 LIBROS	69	76	67	77	88	B+	367
M	VALLE	Estrato 3	Si	26 A 100 LIBROS	67	68	66	66	62	A2	332
F	CAQUETA	Estrato 1	No	0 A 10 LIBROS	50	43	47	45	34	A-	227
F	BOGOTA	-	Si	MÁS DE 100 LIBROS	75	73	69	76	100	B+	377
F	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	60	54	53	53	65	A2	279
M	BOGOTA	Estrato 2	Si	11 A 25 LIBROS	52	54	55	53	51	A1	267
M	CAUCA	Estrato 3	Si	26 A 100 LIBROS	77	100	100	81	77	B1	443
F	VALLE	Estrato 5	Si	MÁS DE 100 LIBROS	80	100	100	76	100	B+	449
M	CAUCA	Estrato 1	Si	MÁS DE 100 LIBROS	59	48	55	56	66	A2	277
M	BOGOTA	Estrato 5	Si	0 A 10 LIBROS	65	57	54	61	73	B1	302
M	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	80	100	75	70	85	B+	408
F	NARIÑO	Estrato 1	No	0 A 10 LIBROS	46	34	35	39	28	A-	188
F	VALLE	Estrato 4	-	26 A 100 LIBROS	43	25	34	39	43	A-	179
M	ATLANTICO	Estrato 6	Si	0 A 10 LIBROS	71	64	61	60	75	B1	324
F	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	72	65	65	59	72	B1	329
F	VALLE	Estrato 3	Si	26 A 100 LIBROS	66	55	55	54	60	A2	288
F	BOGOTA	Estrato 1	Si	11 A 25 LIBROS	49	42	42	48	35	A-	222
F	VALLE	Estrato 5	Si	11 A 25 LIBROS	58	58	61	52	71	B1	292
M	ATLANTICO	Estrato 5	Si	MÁS DE 100 LIBROS	67	61	69	65	68	B1	328
F	ANTIOQUIA	Estrato 1	Si	11 A 25 LIBROS	60	41	49	49	45	A-	247
M	HUILA	Estrato 3	No	11 A 25 LIBROS	38	31	37	34	45	A-	179
M	BOGOTA	Estrato 4	Si	MÁS DE 100 LIBROS	72	86	81	82	78	B1	400
F	ANTIOQUIA	Estrato 5	Si	26 A 100 LIBROS	66	66	66	62	68	B1	326
M	BOGOTA	Estrato 3	No	0 A 10 LIBROS	58	53	39	60	41	A-	258
F	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	62	62	62	63	63	A2	312
M	ANTIOQUIA	Estrato 6	Si	MÁS DE 100 LIBROS	71	61	67	61	72	B1	328
F	CUNDINAMARCA	Estrato 6	Si	MÁS DE 100 LIBROS	72	80	72	74	89	B+	378
M	VALLE	Estrato 5	Si	MÁS DE 100 LIBROS	65	46	64	70	86	B+	316
F	ANTIOQUIA	Sin Estrato	Si	11 A 25 LIBROS	75	75	71	76	86	B+	376
M	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	73	75	64	74	80	B+	361
M	VALLE	Estrato 2	Si	11 A 25 LIBROS	60	46	29	52	57	A1	238
M	CALDAS	Estrato 2	Si	0 A 10 LIBROS	49	38	36	52	40	A-	217
F	BOGOTA	Estrato 2	Si	11 A 25 LIBROS	57	55	58	63	47	A-	287
F	BOLIVAR	-	-	-	42	29	44	51	35	A-	205
F	CUNDINAMARCA	Estrato 4	Si	26 A 100 LIBROS	59	64	58	59	80	B+	308
F	BOGOTA	Estrato 2	Si	11 A 25 LIBROS	48	41	42	41	34	A-	212
F	VALLE	Estrato 6	Si	26 A 100 LIBROS	71	65	63	62	83	B+	333
F	BOGOTA	Estrato 5	Si	MÁS DE 100 LIBROS	62	60	64	61	75	B1	314
F	VALLE	Estrato 2	Si	26 A 100 LIBROS	63	45	55	54	57	A1	272
F	CUNDINAMARCA	Estrato 2	Si	26 A 100 LIBROS	47	60	48	34	46	A-	236
F	CUNDINAMARCA	Estrato 4	Si	26 A 100 LIBROS	71	68	68	72	75	B1	351
M	VALLE	Estrato 6	Si	26 A 100 LIBROS	65	75	74	77	79	B+	366
M	VALLE	Estrato 4	Si	26 A 100 LIBROS	59	66	64	45	57	A1	292
F	CUNDINAMARCA	Estrato 2	No	0 A 10 LIBROS	37	50	46	40	43	A-	216
F	BOGOTA	-	-	-	53	26	37	44	22	A-	193
M	VALLE	Estrato 4	Si	MÁS DE 100 LIBROS	69	58	66	62	64	A2	319
M	VALLE	Estrato 2	Si	0 A 10 LIBROS	53	53	52	45	52	A1	254
M	BOGOTA	-	-	-	51	35	40	49	50	A1	221
F	CALDAS	Estrato 5	Si	MÁS DE 100 LIBROS	74	74	78	76	79	B+	379
M	BOGOTA	-	-	-	56	51	51	45	52	A1	254
M	VALLE	Estrato 5	Si	0 A 10 LIBROS	59	53	58	55	61	A2	283
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	65	64	66	62	82	B+	328
M	VALLE	Estrato 4	Si	26 A 100 LIBROS	50	25	40	45	47	A-	203
M	BOGOTA	Estrato 5	Si	11 A 25 LIBROS	67	63	60	61	72	B1	317
M	CESAR	Estrato 3	-	11 A 25 LIBROS	38	31	33	41	49	A1	184
F	VALLE	Estrato 3	Si	MÁS DE 100 LIBROS	68	65	66	69	76	B1	338
M	VALLE	Estrato 2	No	26 A 100 LIBROS	54	40	55	50	53	A1	250
M	NARIÑO	Estrato 2	No	0 A 10 LIBROS	52	49	44	45	37	A-	233
F	BOGOTA	Estrato 5	Si	26 A 100 LIBROS	76	78	73	77	86	B+	384
F	NARIÑO	Estrato 4	Si	26 A 100 LIBROS	65	65	63	55	61	A2	310
F	VALLE	Estrato 3	Si	0 A 10 LIBROS	59	45	34	40	51	A1	225
F	BOGOTA	Estrato 5	Si	26 A 100 LIBROS	56	52	58	60	67	A2	287
F	BOGOTA	Sin Estrato	Si	MÁS DE 100 LIBROS	68	72	70	72	86	B+	358
F	BOGOTA	Estrato 2	Si	0 A 10 LIBROS	46	34	41	37	43	A-	199
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	58	62	52	59	76	B1	296
F	VALLE	Estrato 4	Si	0 A 10 LIBROS	48	41	48	50	51	A1	235
M	VALLE	Estrato 5	Si	26 A 100 LIBROS	83	74	100	79	82	B+	419
M	BOGOTA	Estrato 5	Si	11 A 25 LIBROS	71	77	77	75	81	B+	377
F	VALLE	Estrato 3	Si	26 A 100 LIBROS	75	69	65	67	65	A2	343
F	NARIÑO	Estrato 2	Si	0 A 10 LIBROS	50	54	55	56	54	A1	269
M	VALLE	Estrato 2	Si	0 A 10 LIBROS	54	55	58	48	61	A2	272
F	SANTANDER	Estrato 5	Si	26 A 100 LIBROS	76	100	100	100	84	B+	466
M	CAUCA	Estrato 1	Si	11 A 25 LIBROS	59	57	63	63	55	A1	300
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	65	56	64	64	58	A2	310
F	BOGOTA	Estrato 4	Si	26 A 100 LIBROS	63	56	55	48	76	B1	285
F	BOGOTA	Estrato 5	Si	11 A 25 LIBROS	73	79	79	72	84	B+	382
F	BOGOTA	Estrato 3	Si	11 A 25 LIBROS	53	37	47	51	62	A2	241
M	VALLE	Estrato 5	Si	26 A 100 LIBROS	75	74	100	77	81	B+	407
M	BOGOTA	Estrato 3	Si	26 A 100 LIBROS	50	40	46	44	54	A1	228
F	VALLE	Estrato 4	Si	26 A 100 LIBROS	51	55	59	51	65	A2	274
F	VALLE	-	-	-	53	48	48	53	50	A1	252
M	VALLE	Estrato 6	Si	MÁS DE 100 LIBROS	68	64	60	60	63	A2	315
F	CAUCA	Estrato 2	Si	26 A 100 LIBROS	62	59	53	52	47	A-	279
M	CALDAS	Estrato 2	Si	0 A 10 LIBROS	56	52	45	43	50	A1	245
M	BOGOTA	Estrato 5	Si	26 A 100 LIBROS	70	68	66	68	74	B1	342
M	BOGOTA	Estrato 2	No	26 A 100 LIBROS	51	36	50	44	43	A-	225
M	VALLE	-	-	-	44	41	42	41	42	A-	210
F	BOGOTA	Estrato 6	Si	MÁS DE 100 LIBROS	68	60	61	59	81	B+	317
F	NARIÑO	Estrato 2	Si	MÁS DE 100 LIBROS	53	41	48	53	54	A1	246
F	VALLE	Estrato 4	Si	26 A 100 LIBROS	63	59	62	72	64	A2	320
M	BOGOTA	Estrato 5	Si	26 A 100 LIBROS	69	65	62	72	78	B1	339
F	VALLE	Estrato 3	Si	11 A 25 LIBROS	59	49	44	44	63	A2	250
M	CUNDINAMARCA	Estrato 3	Si	26 A 100 LIBROS	53	52	52	56	53	A1	266
F	CAUCA	Estrato 4	Si	MÁS DE 100 LIBROS	60	67	68	62	65	A2	322
M	VALLE	Estrato 1	No	0 A 10 LIBROS	49	38	38	45	41	A-	212
M	CALDAS	Estrato 4	Si	26 A 100 LIBROS	67	69	71	65	75	B1	343
F	BOGOTA	Estrato 4	Si	26 A 100 LIBROS	77	78	78	77	89	B+	392
F	VALLE	Estrato 2	No	11 A 25 LIBROS	52	48	38	38	44	A-	220
M	VALLE	Estrato 2	Si	26 A 100 LIBROS	43	48	50	46	53	A1	236
